sentence,aspect,sentiment
"Nhóm màu: vàng màn hình rõ ràng và sống động, thương hiệu đáng tin cậy và đáng tin cậy, dung lượng lưu trữ lớn, dung lượng lưu trữ lớn,",Display,positive
Về cơ bản các chức năng bình thường. Pin yếu sử dụng youtube được hai tiếng đồng hồ là hết pin. Chắc là do máy cũ thì pin cũng yếu. Tốc độ tải chậm. Nhược điểm của dòng điện thoại này là máy rất nóng. Khi nóng lại không sử dụng camera được,Battery,negative
"chất lượng sản phẩm tốt giá cả hợp lý săn sale mua được với giá 3,5tr ,giao hàng siêu nhanh luôn đặt cái chiều giao luôn nhân viên đến tận nhà giao hàng và cài đặt thiết lập thiết bị cho luôn đúng xịn cho 5 sao luôn,kết luận là nên mua nha mua cho phụ huynh sử dụng là hợp lý luôn mình mua cho bố mình sử dụng",Price,positive
Đóng gói không chắc chắn máy va đập hỏng loa camera màu sắc lệch lạc shipping phí cao nhưng chậm,Packaging,negative
"Máy nhận hôm qua, sạc đầy chưa lắp sim, tắt wifi để không, đến chiều nay pin tụt còn 38% 😥",Battery,negative
"Chất lượng sản phẩm: 5 sao 
Đúng với mô tả: đúng 
Tính năng nổi bật: đẹp là 1 lợi thế review luôn cho mọi người. 1. camera sau chụp ổn ban ngày. tối thì chưa thử vì không đam mê chụp lắm. 2. loa: nghe được. 3. cảm ứng: cái này xịn, hơi bất ngờ với giá 4 triệu 4. chơi game mượt. 5. pin so với quảng cáo 6000mah có vẻ hơi ảo, tuy nhiên chơi game mượt thì bù lại hao pin cũng có vẻ hợp lý. nên bật các chế độ tiết kiệm, bedtime buổi tối - nếu không để từ tối tới sáng để không mất 10% thì hơi 3 chấm.",Price,positive
"Hiệu năng chậm khởi động, đóng gói lỏng làm lệch màn. Camera zoom kỹ thuật số pixelate, pin hao khi kết nối không dây.",Packaging,negative
"Color family: color random sản phẩm: tuyệt vời,cửa hàng ơi mình đã nhận được hàng rồi máy tốt chuẩn luôn nhé cửa hàng tư vấn nhiệt tình đúng mẫu máy mình cần đúng chính hãng luôn nha cửa hàng đóng gói cẩn thận giao hàng cũng rất là nhanh mình test một thời gian thì máy rất là tốt nói chung là tốt tất cả cửa hàng uy tín lần sau mình sẽ giới thiệu mọi người ủng hộ thêm cho cửa hàng nha tặng cửa hàng 5 sao nè",Shop_Service,positive
"Nhóm màu: nhiều màu 
Dung lượng lưu trữ: 256gb tuyệt vời ông mặt trời không cần nghĩ ngợi. Nếu mọi người có ý muốn mua em này thì hốt đi nhé. Máy tốt, xịn, đẹp long lanh. Đặc biệt cửa hàng bán hàng có tâm, thật lòng. Có tâm trong tư vấn cho khách, có tâm trong đóng gói.... Túm lại cửa hàng tuyệt vời. Cảm ơn cửa hàng rất nhiều",Design,positive
"Điện thoại đẹp mỏng, màn sáng đẹp, cong vuốt mượt, cam tốt trong tầm giá, cấu hình đủ sử dụng chơi game giải trí nhẹ nhàng tốt, đa nhiệm tốt. Có sẵn sạc, ốp, dán màn hình. Tặng kèm camera",Camera,positive
"Hiệu năng không ổn định, lúc nhanh lúc chậm. Pin sụt không phanh, sử dụng 4g là hết rất nhanh. Đóng gói không chắc chắn, sản phẩm bị xê dịch bên trong.",Battery,negative
"Đúng với mô tả: không đúng mô tả 
Chất lượng sản phẩm: tệ. Pin không sạc vào còn 7% sập nguồn",Battery,negative
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt 
Tính năng nổi bật: 2 phím trigger sử dụng được 1 tháng rồi giờ mới đánh giá. Điện thoại tốt, mượt 120hz tốt lắm, chơi liên quân mượt. Mấy tác vụ bình thường cũng mượt nốt luôn. Nhưng mà sử dụng được 15 ngày rồi mới để ý thấy góc phải ở trên dưới biểu tượng wifi khoảng 1cm bị liệt cảm ứng khoản nhỏ thì phải. Vào Facebook bấm vào kính lúp tìm kiếm ở Facebook bấm hoài không ăn, bấm lệch xíu nhỏ đó mới ăn.",Performance,positive
"Nhóm màu: natural 
Dung lượng lưu trữ: 256gb giao hàng nhanh chóng và hiệu quả, giao hàng nhanh chóng và hiệu quả, giao hàng nhanh chóng và hiệu quả,",Shipping,positive
Nhóm màu: xanh opal 8gb/128gb tốt,General,positive
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb các tính năng đột phá, yêu cổng usb-c!, sử dụng vật liệu chất lượng cao.,",General,positive
"mầu: xanh navy bộ nhớ: 256gb-12gb tùy chọn lưu trữ rộng rãi, trải nghiệm đa nhiệm mượt mà, thương hiệu samsung đáng tin cậy,",General,positive
"Chất lượng sản phẩm: tạm ổn 
Tính năng nổi bật: loa hay 
Đúng với mô tả: đúng đầu tiên thì mình nói về ngoại hình trước bề ngoài máy xước rất nhiều và phầm camera đều bị chầy xước xung quanh các cạnh máy và màn hình củng xước nhưg không đến nỗi điểm yếu của máy là về pin rất hao và tiếng anh lẫn trung rất nhiều không thích hợp làm máy chính nên mọi người cân nhắc nhé máy có hỗ trợ nfc nhưng không nhận thẻ cccd đâu ạ tầm tiền này thì đã có thể mua 1 con máy mới rồi nên ai muốn trải nghiệm thì cứ mua nhé máy mượt và nhạy cam tạm được",Design,negative
"Nhóm màu: vàng 
Dung lượng lưu trữ: 6gb+128gb giao hàng nhanh chóng và an toàn, dung lượng lưu trữ lớn,",Shipping,positive
"sạc không vào, chai pin,",Battery,negative
"Sử dụng chữa cháy xem youtube, zalo, Facebook, tốt. Nút home không ăn rất cứng",Design,negative
"Phân loại sản phẩm: vỏ thay mới chất liệu:nhựa bóng. Cửa hàng thay cái nắp lưng mới cộng thêm dán kính mặt trước lại nên ngoại hình nhìn rất là đẹp luôn chất lượng:vượt mong đợi luôn, máy mượt, phù hợp làm cả máy chính chứ đừng nói là máy phụ, hihi tính năng:máy chạy android 11 nên đủ sử dụng không thiếu bất cứ tính năng nào nhé. Cửa hàng đóng gói đẹp, cẩn thận, nói chuyện thân thiện, tặng sợi cáp sạc type c của vdenmenv sử dụng rất rất ổn luôn, máy hư nút tăng âm lượng nhưng không phải vấn đề lớn lắm. Cám ơn cửa hàng nhé, chúc cửa hàng mua may bán đắt hẹn gặp cửa hàng ở đơn tới nha.",Shop_Service,positive
"Chất lượng sản phẩm: khá 
Đúng với mô tả: ít 
Chất lượng sản phẩm: 5/10 điện thoại nhỏ khá khó sử dụng nhưng vẫn sài được, youtube thì không cập nhật được nên đánh giá thấp. Ưu điểm là rẻ và tải được app.",General,positive
Nhóm màu: màu vàng giáo hàng không sử dụng sản phẩm,General,negative
"Nhóm màu: đen 
Dung lượng lưu trữ: 6gb+128gb giao hàng nhanh chóng và an toàn, thời lượng pin lâu dài, camera chất lượng cao cho những bức ảnh tuyệt đẹp, camera chất lượng cao cho những bức ảnh tuyệt đẹp, giao hàng nhanh chóng và an toàn, giao hàng nhanh chóng và an toàn, camera chất lượng cao cho những bức ảnh tuyệt đẹp,",Battery,positive
Tôi mới nhận hàng nên chưa thể đánh giá về độ bền pin sau một thời gian dài,Battery,neutral
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt 
Tính năng nổi bật: tốt
Giao hàng nhanh chóng đúng mô tả trưa sử dụng mong rằng sẽ chạy bền cảm ơn cửa hàng nhiều",Shipping,positive
Mua 2 máy 1 lỗi màn hình....1 máy lỗi không thu được wifi....khi gửi bảo hành lại cửa hàng tính tiền ship và làm thất lạc pin....sau bán hàng rất kém...cạch cửa hàng,Shipping,negative
"điện thoại hết pin nhanh, mess với zalo phiên bản cũ quá không gọi được tải lại phiên bản mới thì máy không cho phép",Battery,negative
"Camera out nét. Khác xa mô tả. Pin kém. Ảnh hay bị out nét, rung tay là mờ. Máy lag, dễ nóng. Chăm sóc khách hàng trả lời tin nhắn 2 ngày sau",Camera,negative
"chất lượng tuyệt vời, giá lại rẻ nên rất ưng ý 😙",Price,positive
"Màu sắc: đen 
Phân loại: nguyên seal không sạc chất lượng sản phẩm tốt, đóng gói sản phẩm kỹ, thời gian giao hàng nhanh.",Shipping,positive
"Nhóm màu: màu ngẫu nhiên sản phẩm: quá ngon,máy không quá mắc tiền nhưng chất lượng nhận được thì qua tuyệt, ngoại hình cũng đẹp, giao hàng lại nhiệt tình nên mình rất hài lòng",Price,positive
"Màu sắc: bạc 
Phân loại: nguyên seal +sạc 18w giao hàng nhanh, đóng gói cẩn thận, máy chuẩn mới , mượt mà , cửa hàng uy tín",Shipping,positive
"Theo đánh giá của cá nhân mình khi sử dụng sản phẩm này, khi sạc máy rất nóng và sạc đầy nhanh. Khi sử dụng trong ngày thứ 2 mình mua về máy có biểu hiện âm thanh lúc lớn nhỏ. Chơi game vẫn lag và không điều khiển được đơ luôn. Mình có hoàn trả nhưng không thành công, nên mọi người cẩn thận khi mua nha!",General,negative
"Bao bì sản phẩm không có gì đặc biệt. Thời gian giao hàng tương đối, không quá nhanh.",Packaging,neutral
"Đúng với mô tả: sản phẩm như mô tả 
Chất lượng sản phẩm: máy mới và hoạt động bình thường 
Tính năng nổi bật: nhiều tính năng sản phẩm dù không có hộp nhưng vẫn được gói bọc cẩn thận, có kèm cáp xạc và ốp lưng, trên thân máy được dán tem bảo đảm",Packaging,positive
Máy bóc seal ra đã bị lỗi màn.gửi bảo hành thì lằng nhằng rắc rối,Display,negative
"Vỏ nhựa rẻ tiền nhìn hình thì đẹp hay bị treo máy. Máy thỉnh thoảng bị đơ cảm ứng, phải khởi động lại mới hết. Vỏ thì ọp ẹp.",Performance,negative
Sản phẩm tốt giao hàng lại nhanh sản phẩm chất lượng cửa hàng nhiệt tình chu đáo sản phẩm tốt chất lượng giá rẻ cửa hàng phục thù nhiệt tình chu đáo,Shipping,positive
"đẹp nha, shipper thân thiện",Design,positive
"Không biết mọi người nhận hàng như thế nào, chứ điện thoại mình nhận được đẹp và sử dụng cũng tốt, cảm ứng mượt, độ sáng màn hình cao nên ra đường nhìn không bị nhòe và giá cửa hàng bán cũng rẻ hơn 1 số nơi",Display,positive
Sản phẩm nhẹ quá cầm không quen😂 hình thức đẹp mua sale 2tr giá rẻ cho mẹ sử dụng nên thấy cũng tốt. Chỉ tiếc là sản phẩm chỉ có que trọc sim và cáp sạc c to c chứ không có củ sạc -1 sao.ngoài ra không có gì đi kèm với máy cả hơi tiếc nhưng giá rẻ không đòi hỏi hơn dk.😃 hình ảnh manh tính chất nhận xu 👌,Design,positive
"Kém cỏi không giống pin tụt vèo vèo chỉ sau 2 giờ sử dụng, camera mờ tịt như sương mù, đóng gói thì lỏng lẻo dẫn đến xước xát",Camera,negative
"Khả năng lưu trữ: 32gb 
Nhóm màu: nhiều màu hơi sốc khi nhận ra sản phẩm là samsung on7 prime chứ nó phải là samsung j7 prime",General,negative
Dịch vụ chăm sóc khách hàng hoạt động theo quy trình thông thường.,Shop_Service,neutral
Cửa hàng uy tín rất tốt như giới thiệu,General,positive
"Máy lỗi , kém chất lượng",General,negative
"Sản phẩm mới 70%, không có sạc, mua màu đen lại gửi màu vàng. Nhưng sử dụng vẫn ổn, lag ít, chạy khá mượt, giao hàng nhanh.",Performance,neutral
"Hàng đã làm gì thì không biết nhưng vỏ ngoài không 1 vết trầy , không có áp suất, màn hình đẹp trong vắt, không ám ố, không bóng mờ, pin trâu. Tóm lại như hàng rebuid lại nên quá ngon.",Display,positive
"Đóng gói không có chống sốc, chỉ bọc qua loa. Ship mất gần 2 tuần mới tới nơi. Hiệu năng kém, không chơi được game nặng. Chăm sóc khách hàng không nghe điện thoại.",Performance,negative
Phân loại sản phẩm: xanh marble hàng như hình. còn nguyên tem mác. giao hàng nhanh hơn dự kiến 2 ngày. có hóa đơn điện tử. chất lượng thì thời gian mới biết được,Shipping,positive
"Color family: random color sản phẩm: mua tặng cho phụ huynh, thấy người nhà sử dụng bảo sử dụng tốt và dễ sử dụng,khen quá trời nên vào đánh giá cho cửa hàng 5 sao.",General,positive
"hàng giống như trên ảnh, đủ số lượng, cửa hàng chuẩn bị hàng nhanh và giao nhanh cho khách",Shop_Service,positive
Điện thoại không sử dụng được phí tiền quá biết làm sao bây giờ,General,negative
"Pin trâu thôi rồi luôn, chơi game nhẹ nhàng tốt nhé. Mình mua cho bố sử dụng nên thoải mái. Ngon trong tầm giá",Price,positive
"Màu sắc: đen 
Phân loại: không hộp (mới 100%) điện thoại sử dụng tốt, mới zin, chưa biết lâu dài thế nào, cho cửa hàng 5sao, sau sẽ đánh giá tiếp!",General,positive
"Chất lượng sản phẩm: đúng hãng hàng chính hãng , giá hợp lý , giao nhanh",Price,positive
"Đúng với mô tả: giống như hình ảnh quảng cáo 
Chất lượng sản phẩm: mới bóc tems 
Tính năng nổi bật: iphone 16 plus hàng không có hóa đơn đi kèm .tôi muốn có hóa đơn giá trị gia tăng đi kèm.cửa hàng gửi qua email giúp tôi.",Shop_Service,neutral
Săn sale được giá tầm 1tr7 xong còn được hoàn xu. Giá rẻ. Chất lượng trong tầm giá thui nhưng không không thể đòi hỏi hơn,Price,positive
"xấu xí không khớp lag nặng, camera tối om",Performance,negative
"Phân loại sản phẩm: điện thoại a31 sản phẩm chất lượng rất ổn, mẫu mã đẹp dễ cầm nắm bộ nhớ lớn thoải sức lưu trữ hình ảnh, pin trâu ram máy lớn trải nghiệm game không lo giật lag, giá cả phải chăng hợp túi tiền người lao động. Cửa hàng tư vấn rất tốt có nhiều sản phẩm giá bình dân . Đánh giá 5 sao",Shop_Service,positive
camera selfie filter giả tạo. pin tụt khi nghe nhạc. ship phí cao nhưng không theo dõi.,Battery,negative
"màn ám, sạc pin không vô",Display,negative
"Chất lượng sản phẩm: tốt 
Tính năng nổi bật: vân tay dưới màn, cam tốt, loa xịn nhận xét chung là hài lòng. ngoại hình 8đ, chức năng 10đ. mình mua để đổi gió nên cũng không yêu cầu cao gì, nhưng mà nhìn qua ngoại hình thì biết là máy đã được tân trang lại rồi, cổng sạc khá tả, con điện thoại mình sử dụng 4 năm rồi mà cổng sạc cũng không tả tơi được như con này, cụm cam thì không xước xát gì nhưng viền quanh cam có vài vết sứt mẻ, nói chung là chủ cũ sử dụng hao vcd. máy nhận về chạy miui 12.5 không được full tiếng việt, mình có up rom lên miui 14 eu thì thấy đỡ hao pin hơn hẳn. à mà củ sạc cửa hàng gửi kèm sử dụng dây typec-typec mà dây sạc cửa hàng gửi lại là typea-typec nên sử dụng không được =)))",Battery,neutral
hay là a lo lắng về việc này sẽ được đưa lên miệng cắn răng chịu đựng,Others,neutral
"Máy khá lag sóng kém, game nhỏ chơi lúc là treo máy. Ngoài ra không thấy lỗi gì. Nếu có cái nào ram cao hơn m sẽ đổi.",Performance,negative
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb 🔋 
Thời lượng pin: tốt ⚡ 
Hiệu suất: tốt 📸 
Chất lượng camera: ổn",Performance,positive
"Nóng ran. Không giống hình. Pin không trâu. Máy nóng liên tục. Hiệu năng kém, dễ bị văng app. Pin chỉ sử dụng 4 tiếng. Ship lâu vãi. Chăm sóc khách hàng không nghe máy",Battery,negative
"máy ổn ở mức giá 2.x. có màn oled full hd. chất lượng hiển thị tốt. máy được cửa hàng việt hóa sẵn tiếng việt được tầm 85-90%. pin 4000 hơi ít nhưng mình mua lm máy phụ nên tốt. màn chỉ là 60hz, 1 loa mono. không biết máy mọi người mua có bị như của mình không lúc xem yt xem ở tốc độ bt thì tốt, bật tốc độ 1.25 trở lên là hình đi trc tiếng xem hơi khó chịu. máy thị trường jp nên phụ kiện kèm hộp chỉ có ốp lưng, chọc sim. cửa hàng có tặng kèm 1 bộ sạc quảng cáo nhưng mình không sử dụng. tóm lại ở mức giá 2.x thì cũng ổn",Price,positive
"Tính năng nổi bật: nhanh mượt máy khởi động nhanh , sử dụng nghe nhạc , nghe gọi cho người lớn tuổi tốt . 
Chất lượng sản phẩm: sạc pin hơi lâu , máy giá rẻ nên cũng chấp nhận được , sử dụng nhanh bị nóng máy . Máy cấu hình tốt trong tầm giá máy đẹp , chỉ bị chớt nhẹ một chút . Giá rẻ nên thế này cũng tốt rồi . Đặt màu đỏ thì lại giao máy màu vàng , thôi không sao vẫn sử dụng tốt . Vẫn cho cửa hàng 5 sao",Price,positive
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb giá trị tuyệt vời cho số tiền bỏ ra, dung lượng lưu trữ cao, tính năng sáng tạo, hiệu suất mượt mà,",Performance,positive
Pin sạc pin hay ngắt camera màu xám xịt đóng gói sử dụng hộp mỏng dễ vỡ,Camera,negative
"đánh giá theo chất lượng sản phẩm mua máy lần 2 cảm thấy máy bị lỗi hư nút home mặc dù đã kêu cửa hàng kiểm tra máy trước khi giao,máy nghe gọi không rõ như máy lúc đầu mua máy mua về kiểu 98 chứ không được 99 máy đã được tháo lắp nhìn vào óc là đủ biết, máy vậy mà tăng giá lên 450k mong cửa hàng kiểm tra hàng 99% tốt hết rồi hả giao",Price,negative
"Chất lượng sản phẩm: kém 
Tính năng nổi bật: không có 
Đúng với mô tả: không đúng điện thoại láp ráp ẩu . Camera sau bị lệch nhẹ . Camera trước bị bụi . Cổng sạc bị móp méo sửa chữa kiểu tay nghề yếu kém . Chơi game lag , pin hơi hau không giống cái điện thoại có pin 5000 ở nhà , chỉ giống cái điện thoại có pin 3000 . Điện thoại để ram 6gb chứ chạy y chang cái ram 3gb . So với giá tiền thì mắc nha mọi người .",Camera,negative
Dịch vụ chăm sóc khách hàng phản hồi ở mức chấp nhận được. Hiệu năng của máy ở mức trung bình khá.,Performance,neutral
Màn hình hiển thị với độ phân giải theo thông số kỹ thuật.,Display,neutral
"Nhóm màu: xanh ngọc khả năng lưu trữ: 128gb sử dụng rất thích, máy rất mượt. sử dụng một thời gian để xem như thế nào nhưng hiện tại mình sẽ cho 5 sao nha, cửa hàng cũng nhiệt tình nè.",Performance,positive
"Sản phẩm: hàng lỗi hoặc bị hư hỏng bị hư loa, liên hệ không ai trả lời",Shop_Service,negative
không cảm ứng được,Display,negative
"Chất lượng sản phẩm: hàng chính hãng tốt trong tầm giá 
Đúng với mô tả: đúng 
Tính năng nổi bật: trigger cảm ứng mua giá sale 3 triệu 500, giá này thì ngon rồi vừa tầm, cam xấu chống mù, giao hàng nhanh, màn hình xấu, có nfc, pin trâu có sạc nhánh, ai mà game thì nên mua còn xem phim, chụp ảnh thì mua khác cái khác đi.",Display,negative
"Nhóm màu: nhiều màu 
Dung lượng lưu trữ: 256gb tuyệt vời ông mặt trời không cần nghĩ ngợi. Nếu mọi người có ý muốn mua em này thì hốt đi nhé. Máy tốt, xịn, đẹp long lanh. Đặc biệt cửa hàng bán hàng có tâm, thật lòng. Có tâm trong tư vấn cho khách, có tâm trong đóng gói.... Túm lại cửa hàng tuyệt vời. Cảm ơn cửa hàng rất nhiều",Packaging,positive
Variation3: bạc variation1: nguyên seal chi mot cau thoi.cửa hàng uy tin,General,positive
"Tính năng nổi bật: điện thoại 
Đúng với mô tả: tốt 
Chất lượng sản phẩm: tốt
Máy đời cũ vẫn sử dụng tốt",General,positive
Camera chụp dìm hàng. Ảnh quảng cáo đẹp. Nóng máy. Ảnh chụp bị bệt màu. Máy nóng. Hiệu năng kém. Pin sụt nhanh. Chăm sóc khách hàng không hỗ trợ,Performance,negative
Đúng với mô tả: đúng điện thoại được kiểm tra gắn sim gọi thử nghe rõ tốt,General,positive
Camera portrait cắt méo khuôn mặt shipping giao muộn giờ cao điểm pin chỉ 4h sử dụng,Shipping,negative
Sử dụng vài hôm tự tắt nguồn.,General,negative
"Nhóm màu: nhiều màu 
Dung lượng lưu trữ: 128gb sản phẩm tốt",General,positive
"Điện thoại hàng rởm, gọi điện nói chả ai nghe gì, bán cho mình đúng ngay con máy bị hư, đời khốn nạn thật",General,negative
Chán nản. Màu ảnh không thật. Hiệu năng lẹt đẹt. Camera chụp tối màu đen bị bệt. Máy đơ 1-2 lần/ngày. Pin tuột không phanh. Đóng hàng không có tem. Ship chậm vcl,Camera,negative
"Sản phẩm lỗi vặt. Không đúng màu đã chọn. Hiệu năng không ổn định. Máy tự khởi động lại 2-3 lần/ngày. Pin sạc mãi không đầy. Đóng gói không niêm phong. Chăm sóc khách hàng không có chuyên môn, trả lời chung chung",Battery,negative
"Color: đen-xl tuyệt vời cho phong cách đường phố, vật liệu chất lượng cao, vẻ ngoài đơn giản và đẹp trai, thiết kế phong cách và hợp thời trang, bền và lâu dài, dễ phối đồ và linh hoạt, thời trang hàn quốc hợp thời, hiện đại và thời trang,",Others,neutral
"máy thay vỏ nên khá đẹp, lần trc được ngon hàn ngon, lần này tmobile không làm ăn, úp rom rủng gì được hết, . máy thay vỏ nên mới cóng, camera sau hơi out nét tí không tốt lắm. pin còn trâu.",Camera,negative
"Tồi sai lệch dở shipping muộn. Camera noise đầy.,",Camera,negative
Camera selfie bị lệch tông màu. Ảnh selfie bị làm trắng quá mức. Chất lượng ảnh không sắc nét. Ảnh tự sướng xấu tệ. Shipping lâu hơn cam kết 2 ngày,Camera,negative
Giao nhanh sản phẩm chính hãng sản phẩm sử dụng được vài ngày thì xuất hiện bụi trong camera. Mua 1 cặp cả 2 cái đều bị. Quá thất vọng với 1 sản phẩm ba muoi mấy triệu,Shipping,positive
Đóng gói sản phẩm bao gồm hộp và các phụ kiện đi kèm theo tiêu chuẩn.,Packaging,neutral
"Tính năng nổi bật: không có 
Đúng với mô tả: máy sử dụng nóng, giật lag, bị lỗi nhưng không cho trả hàng 
Chất lượng sản phẩm: tệ
Sản phẩm: hàng lỗi hoặc bị hư hỏng tốn tiền. Không nên mua. Shopee không bảo vệ người sử dụng. Nhân viên chăm sóc khách hàng xử lý đơn yêu cầu hoàn hàng bị mù. Sản phẩm bị lỗi nhưng nhất quyết không cho trả hàng. Làm khách hàng bực mình xong cúp máy. Thái độ coi thường khách hàng. Xoá shopee từ đây.",Shop_Service,negative
Dung lượng lưu trữ: bản ram 4gb/64gb vừa nhận hàng như mô tả...đúng hàng... Còn chất lượng thì chưa biết,General,neutral
"ship rất chậm, giao hàng hư hại. khác với mô tả dịch vụ giao nhanh. tính năng bảo hành rắc rối. pin tụt nhanh, cập nhật phần mềm gây lỗi, chăm sóc khách hàng trả lời vòng vo",Shop_Service,negative
Sản phẩm bị bể camera,Camera,negative
"Lỗi mic đúng mẫu không. Máy mình bị lỗi mic, gọi điện đầu dây bên kia không nghe thấy gì. Đem đi bảo hành thì hẹn tới hẹn lui rất mất thời gian.",Shop_Service,negative
"đóng gói sơ sài ghi 'niêm phong' nhưng không box móp, phụ kiện thiếu, shipper giao trễ 9 ngày,",Packaging,negative
"Điện thoại tôi đã sử dụng thử và cảm thấy cũng được, pin rất lâu mà không sử dụng hết và điện thoại sử dụng rất mượt mà êm âi",Battery,positive
máy test ổn khi nhận không pik sử dụng sao tutu đánh giá chuẩn hơn ạ....,General,neutral
"Phiên bản: ram 6/128gb hàng đẹp, đóng gói kỹ, giao hàng nhanh, cửa hàng tư vấn nhiệt tình. Nói chung máy cấu hình tốt, chạy mượt, hỉnh ảnh rất đẹp, hàng mới full box, tuy nhiên cập nhật lên android 11 chưa được, hiện chỉ chạy android 10, độ bền thì thời gian sẽ trả lời, nói chung là quá hài lòng.",Packaging,positive
Thiết kế máy tuân theo ngôn ngữ thiết kế chung của hãng.,Design,neutral
Không có tai nghe. Trong khi mua hàng bấm vào link Facebook có ghi tặng cả loa. Máy mới mượt,General,negative
Camera chụp ảnh trong điều kiện đủ sáng cho chất lượng tạm ổn. Thiết kế máy cầm tay cũng khá vừa vặn.,Camera,neutral
"Ưu điểm: cấu hình cao, chơi game mượt, có nút phụ chơi game nhược điểm: màn hình lcd bị ám vàng ở cạnh, camera chống mù, loa kép kg đều, máy nhanh nóng",Performance,positive
"Lởm chởm lừa đảo wifi không bắt được ở nơi đông đúc như crush tránh mặt đám đông, đóng hàng móp méo nặng kiểu tai nạn xe đạp, camera mờ nhòe zoom vào vỡ hết như kính cận vỡ",Camera,negative
"Nhóm màu: natural 
Dung lượng lưu trữ: 256gb mặc dù có chút vấn đề liên quan giao hàng, trải nghiệm giao hàng thực sự tệhiệu suất máy ảnh ấn tượng, ⚡ 
Hiệu suất:mạnh 📸 
Chất lượng camera: tốt 🔋 
Thời lượng pin: tốt",Battery,positive
"Nhóm màu: black 
Dung lượng lưu trữ: 256gb sẽ đánh giá cho shop sau khi có trãi nghiệm.",General,neutral
"Tình trạng: 96% 
Nhóm màu: vàng cửa hàng giao hàng nhanh sản phẩm có pin giá ổn cửa hàng bảo 96% theo mình nghỉ không tới mặt sau trầy sướt nhiều giửa thân còn móp .",Design,negative
Sản phẩm: sản phẩm giả mạo,General,negative
Lướt mạng xã hội tốt. Còn game độ phân giải thấp thì tốt độ phân giải cao như liên quân thì không được nhé,Performance,negative
"Sản phẩm đúng với mô tả, giao hàng nhanh, máy hơi lác, thiết kế đẹp, có nhu cầu sẽ ủng hộ cửa hàng tiếp.",Performance,negative
màn hình đẹp... chất âm tốt... mỏng nhẹ đẹp...,General,positive
"Màu sắc: bạc 
Phân loại: fullbox mới chất lượng tốt",General,positive
Thời gian giao hàng trong khoảng 3-5 ngày làm việc.,Shipping,neutral
"Đúng mô tả có cường lực tặng kèm, trãi nghiệm chưa được lâu nên chưa đánh giá được.",General,neutral
"hàng đúng với mẫu, đẹp gói hàng rất cẩn thận giao nhanh. nên mua nhé",Shipping,positive
"Shipper quen và thân thiện,cửa hàng đóng gói cẩn thận,giao hàng nhanh ,nên mua ủng hộ cửa hàng😊 máy hơi liệt nhưng đối với giá tiền thì được",Price,positive
Sản phẩm chưa sử dụng nên chưa đánh giá. Đóng gói tốt tặng cửa hàng 5*. Sử dụng sẽ đánh giá thêm,Packaging,positive
"Đúng với mô tả: giống hình 
Chất lượng sản phẩm: tốt
Máy bên ngoài nhìn đẹp hơn trên live ,nhất là màu bạc",Design,positive
"Hiệu năng chập chờn, không ổn định khi chuyển app. Pin sụt nhanh khi sử dụng mạng di động. Đóng gói không chắc chắn, sản phẩm bị va đập bên trong.",Battery,negative
Không đúng với mô tả bị bể,General,negative
"Tính năng nổi bật: tệ 
Chất lượng sản phẩm: tệ 
Đúng với mô tả: tệ
Tốn 2 triệu bạc mua cái điện thoại mà không giải quyết được vấn đề gì phí tiền, mua máy về lắp sim vào máy không có một vạch sóng nào không nghe gọi được thì sử dụng kiểu gì. nhắn tin cửa hàng thì cửa hàng nói khôi phục cài đặt gốc đủ thứ rồi cũng chẳng ăn thua không tí sóng nào. pin thì sụt nhanh hết cỡ, không chơi game chỉ Facebook tikttok với zalo mà ngày phải sạc 3 lần mới đủ sử dụng. các bạn nên cân nhắc kỹ khi mua máy này. cửa hàng nói hỗ trợ đổi máy mới nhưng phải gửi máy cho cửa hàng trước cửa hàng test kiểm tra kỹ lưỡng mới cho đổi, vì công việc mình cần máy để làm việc online nên cũng chẳng đổi nữa, mất thời gian, mọi người nên cân nhắc kỹ trước khi mua. điện thoại sử dụng gì mà được vài hôm đã tự bung cả cụm kính camera. đúng hàng fake tq có khác. coi như mất tiền ngu",Design,negative
Giao chậm,Shipping,negative
"Đặt vivo y11 gửi vivo y55, đặt máy màu xanh gửi màu vàng nâu,cửa hàng làm ăn không uy tín",General,negative
"Chất lượng sản phẩm: cực kém 
Đúng với mô tả: hoàn toàn sai 
Tính năng nổi bật: không có máy sử dụng 2 ngày đã lỗi màn hình, pin sụt không phanh, cửa hàng không chịu bảo hành",Shop_Service,negative
"Nhóm màu: trắng ngọc trinh 
Dung lượng lưu trữ: 12/256gb tuyệt vời, máy mới nguyên seal, giá tốt, cửa hàng uy tín giao hàng nhanh. Chúc cửa hàng làm ăn thuận lợi ngày phát triển hơn nhé 👍👍👍",Price,positive
Đúng với mô tả: máy đẹp chưa thấy lỗi,Design,positive
"Màn hình hiển thị nội dung ở mức khá. Vỏ máy làm bằng chất liệu phổ thông, cảm giác cầm nắm bình thường.",Display,neutral
