sentence,aspect,sentiment,predicted_sentiment,confusion_type,error_count_for_sentence
"Tính năng nổi bật: không co 
Đúng với mô tả: tốt 
Chất lượng sản phẩm: trung bình 
giá rẻ, nhưng máy chậm ạ. cảm ứng chậm, bắt wifi cũng chậm, xem livestream cũng chậm, lại bị nhấp nháy màn hình. phải restart máy mới ổn. giá rẻ nên không thể chê thêm. ai mua thì cân nhắc ạ.",Performance,negative,neutral,negative → neutral,1
từ hôm mua về đã bị rồi. nghĩ là do nó không nhạy nên không để ý nhiều. xong càng ngày càng bị nặng hơn. phải ấn 5 lần mới được 1 lần. như này có được bảo hành không cửa hàng?,Performance,negative,neutral,negative → neutral,1
"Chất lượng sản phẩm: hàng oke nha hơi lag 
Đúng với mô tả: đúng với mô tả tui mua cũng sử dụng 1 thời gian lâu cảm thấy máy hơi lagg nhẹ còn mọi thứ đều oke sin nghe gọi được",Performance,negative,positive,negative → positive,1
"giao hàng nhanh chóng, chất lượng sản phẩm tuyệt vời, hàng gói cẩn trọng, sẽ ủng hộ cửa hàng máy hơi chậm 🤣",Performance,negative,positive,negative → positive,1
chất lượng sản phẩm chất lượng kém so với giá. đúng với mô tả thiếu 1 số phụ kiện. tính năng nổi bật camera màu lệch autofocus chậm. review ảnh chụp bị ám vàng autofocus thường fail. hiệu năng lướt web tốt nhưng đa nhiệm kém. đóng gói thiếu foam bảo vệ ship bên vận chuyển làm móp. chăm sóc khách hàng trả lời bằng mẫu không cá nhân hoá,Performance,neutral,negative,neutral → negative,1
"màu ở ngoài xinh lắm, chụp lên trông nhạt nhạt nhưng mà ở ngoài hồng sáng xinh cực. mọi người nên mua, tính năng máy đều ổn. hiện tại chưa xuất hiện lỗi hay giật lag gì đâu nhaa.",Performance,neutral,positive,neutral → positive,1
Đúng với mô tả: hàng đến còn nguyên vẹn cửa hàng gởi hàng đúng hẹn chạy thử thấy máy chạy tôt chưa kiểm tra kỷ,Performance,neutral,positive,neutral → positive,1
Không có tai nghe. Trong khi mua hàng bấm vào link Facebook có ghi tặng cả loa. Máy mới mượt,Performance,positive,negative,positive → negative,1
"Phân loại sản phẩm: vỏ cũ 📸 
Chất lượng camera: tốt 🔋 
Thời lượng pin: tốt ⚡ 
Hiệu suất: tốt độ phân giải màn hình mờ. có thể máy đã được thay thế màn hình khác, chất lượng không nét lắm.",Performance,positive,negative,positive → negative,1
"ban đầu thấy bảo không có dán cường lực sẵn làm đi mua hết mấy cái. ốp trong của điện thoại khá mềm và mỏng, điện thoại sử dụng tốt, pin trâu, chụp hình hơi ẹ nhưng cày game nhẹ nhẹ thì ổn. mình sử dụng được 10 ngày rồi và không thấy có dấu hiệu giật lag gì, có cài apk này nọ crack máy vẫn tốt.",Performance,positive,negative,positive → negative,2
chất lượng sản phẩm mic thu âm kém tiếng rè. đúng với mô tả không đề cập mic yếu. tính năng nổi bật âm thanh & camera không tốt. review gọi điện nghe vọng đối phương than rè. camera quay video cũng có noise. hiệu năng tổng thể ổn thôi. đóng hộp đơn giản ship delay. chăm sóc khách hàng trả lời bằng mẫu không hỗ trợ kỹ thuật sâu,Performance,positive,negative,positive → negative,1
"Điện thoại mới. Test máy mượt, camera hơi cùi nhưng chơi game thì tốt",Performance,positive,negative,positive → negative,1
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: oke mượt 
Tính năng nổi bật: oke săn giá hơi cao nha, test máy oke mượt nhưng mà giao sai màu rồi nha cửa hàng",Performance,positive,negative,positive → negative,1
"Mua điện thoại tặng bé em rồi nên mình không có hình, muợn đỡ cái mình đang sử dụng quay lên, cũng là nubia neo 2 hết, thuận tiện chơi game, bộ nhớ dung lượng cao, chiến game muợt mà",Performance,positive,neutral,positive → neutral,1
"Nhóm màu: màu đen nhám chất lượng: tốt tính năng: tốt đặt màu đen nhưng giao màu bạc... Nhưng màu bạc tuyệt đẹp. Đúng hình thức 99% máy mỹ (sản xuất ở Việt Nam nha). Sử dụng được 2 sim. Còn áp suất chống nước. Đã test 2 ngày, mượt, ổn. Máy snapdragon 888 nên mau nóng cũng mau hạ nhiệt khi ngưng sử dụng. Pin thì bình thường, tụt hơi nhanh chút.",Performance,positive,neutral,positive → neutral,1
Chất lượng sản phẩm: hàng kém chất lượng lưu danh bạ hay bị mất pin nhanh hết sản phẩm không đáng tin cậy (tiền nào của nấy mà),Price,negative,neutral,negative → neutral,1
"Chất lượng sản phẩm: tệ
Đúng với mô tả: không đúng 
Tính năng nổi bật: bộ nhớ đúng là 128g/6g thôi thôi chấp nhận tiền nào của nấy",Price,negative,neutral,negative → neutral,1
"Hàng tốt, màu mới không bị đen, đã mua ở đây nhiều lần rồi nên yên tâm. Săn giá net còn 25tr7 xong vài tiếng sau còn 25tr5, đã chuyển khoản nên lười huỷ đơn, cho 1 sao tạm vì đổi giá vô lý không công bằng. Hàng ngon tốt không lỗi lầm gì cả, chỉ có 1 hạt bụi nhỏ ở cam không đáng kể, phải soi đèn flash kĩ mới thấy, lười trả hàng do cần sử dụng gấp nên thôi.",Price,negative,positive,negative → positive,1
"Nhóm màu: xanh màu xanh đẹp nha. Giá hơn 4tr mà ram 6 thì hơi cao, mua sale thì được. Ảnh nhận xu thôi",Price,negative,positive,negative → positive,1
"Tính năng nổi bật: hình ảnh mang tính chất nhận xu mua với giá gần 4tr, hơi lag, số tiền này kiếm mua ip cũ sử dụng thì vẫn tốt hơn nhe có xuất hoá đơn đầy đủ, chăm sóc khách hàng cũng được",Price,negative,positive,negative → positive,1
Với giá tiền này thì mình không đòi hỏi nhiều 😗😆😆 mua rẻ thì cũng hên sui xác định bật được 15 phút xong khỏi lên luôn xạc pin không lên nguồn luôn cửa hàng nên làm ăn lại mình cũng không yêu cầu hoàn trả nhưng làm ăn không có tâm hihi mọi người cân nhắc trước khi mua,Price,negative,positive,negative → positive,1
"Nhóm màu: desert 
Dung lượng lưu trữ: 256gb năm nay săn được bên laz giá cũng ngon, laz giao nhanh nhất trong tất cả các sàn tuy nhiên giá chưa tốt lắm á quí dị ơi",Price,neutral,positive,neutral → positive,1
"Chọn mua thiết bị vì chi phí dễ tiếp cận, hiểu rằng phân khúc này sẽ có điểm giới hạn nhất định. Trong quá trình sử dụng các thao tác cơ bản như mở ứng dụng, đọc tin tức, đôi khi phản hồi hơi chậm, thỉnh thoảng xuất hiện tình trạng khựng nhẹ. Chất lượng loa chưa thật rõ ràng, tiếng phát ra hơi bé nên nghe không thoải mái lắm trong môi trường có tiếng nền. Điều khiến bản thân mệt mỏi nhất là lúc cần hỏi về chế độ hỗ trợ kỹ thuật: nhắn tin liên tục, gần như mỗi ngày đều vào hỏi thăm, nhưng chỉ nhận được lời hẹn mà không có nội dung cụ thể. Sau thời gian dài chờ đợi, mới được giải quyết. Mong khâu phản hồi sau bán hàng sẽ được cải thiện.",Price,positive,negative,positive → negative,1
"Hư loa ngoài, máy giá rẻ nên xem youtube hơi giật",Price,positive,negative,positive → negative,1
"Giao hàng quá lâu, điện thoại giá vừa phải. Hi vọng sử dụng ổn. Thời gian nữa xem tốt không.",Price,positive,neutral,positive → neutral,1
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: trung bình  
Tính năng nổi bật: giá hợp lý máy sử dụng có độ trễ khi mở app, có sạc siêu nhanh. Giao hàng chậm, hơn 4 ngày mới nhận được hàng.",Price,positive,neutral,positive → neutral,1
Được tặng 2 cục bin. Với giá tiền này mua về sử dụng tạm cũng được,Price,positive,neutral,positive → neutral,1
"Chất lượng máy tốt, không bị xước gì nhiều, mà mình có hỏi cửa hàng trước lúc mua xem pin em này đã sạc được bao nhiêu thì cửa hàng bảo sạc khoảng vài lần, mình kiểm tra thì thấy sạc được 160 lần :))) -1 uy tín nhé, cường lực giao tới cũng vỡ ạ. Máy thì sử dụng hơi ấm, cam thì tốt",Shipping,negative,positive,negative → positive,1
Sản phẩm tốt săn đk sale giá rẻ giao hàng lâu cửa hàng uy tín sẽ ủng hộ thêm,Shipping,negative,positive,negative → positive,1
"Tính năng nổi bật: chúc nang đây đủ 
Chất lượng sản phẩm: nhận hàng test tốt chưa biết sử dụng sau này như nào nhưng cho cửa hàng 5 sao luôn 
Đúng với mô tả: điện thoại tốt,không giống màu mình đặt",Shipping,negative,positive,negative → positive,1
"Tính năng nổi bật: chơi game tốt 
Chất lượng sản phẩm: hiện tại tốt nha 
Đúng với mô tả: đúng cửa hàng tặng kính ốp cường lực nhưng vẫn bị bể một chút do bên vận chuyển mặc dù chống sốc rất nhiều",Shipping,negative,positive,negative → positive,1
"Đúng với mô tả: ddung 
Chất lượng sản phẩm: tốt
Có một chút về vấn đề shipp nhưng máy tốt mọi người nên mua",Shipping,negative,positive,negative → positive,1
"Chất lượng sản phẩm: đáng để trải nghiệm 
Tính năng nổi bật: dynamic island iphone 15 nhỏ gọn cầm vừa tay pin ở mức ok sử dụng ổn , canh khung giờ sale giá rẻ. Máy ở hn nên cỡ 3-4 ngày mới nhận được",Shipping,neutral,positive,neutral → positive,1
"Báo lỗi điện thoại bị kẹt khe sim, tốc độ phản hồi của điện thoại chậm ấn xong cứ phải mất 0.5s 1s mới phản hồi nên xin hoàn trả. Bên cửa hàng test lại kêu là không vấn đề gì và không đồng ý hoàn. Trong khi trong video của cửa hàng cũng thấy rõ bên cửa hàng cũng gặp khó khăn khi tháo khe sim trong khi là người chuyên làm về điện thoại rồi, thì với người sử dụng cuối như mình còn khó hơn nhiều. Tốt chấp nhận sử dụng tạm và giờ thì thấy thêm là bắt wifi cực yếu. Cục router ngay cạnh mà bắt được 1 vạch và liên tục disconnect. Mua trên official store mà như máy dựng thế này. Sau không tin mác official của shopee được nữa. Lần này ngu nên chấp nhận chịu vậy. Bên giao hàng tốt nhưng sản phẩm và shopee 1 sao",Shipping,positive,negative,positive → negative,1
"Chất lượng sản phẩm: tạm 
Đúng với mô tả: không mua máy phải đổi lần 2 mới tạm ổn, máy chạy chậm lắm mặc dù cấu hình cao (như ảo ấy), lỗ sạc là sử dụng đầu sạc cũ trước cả đầu c á, sạc pin vào rất lâu. Thôi sử dụng tạm để học tập. Cửa hàng thì phục vụ cực kì nhiệt tình, giao hàng cũng nhanh nhẹn, gói hàng cũng kỹ, có phiếu bảo hành.",Shipping,positive,negative,positive → negative,1
"Giao hàng nhanh, nhưng máy bị nứt màn hình, không vào youtube được, chỉ nghe gọi, zalo, lướt web siêu chậm, máy siêu nóng, mau hết pin, thường bị đơ.",Shipping,positive,negative,positive → negative,1
"Hiệu năng quá nóng và lag. Không xứng với giá tiền. Dễ quá nhiệt khi sử dụng liên tục. Máy nóng ran như lửa đốt dù chỉ lướt Facebook, chơi game là giật tung. Chăm sóc khách hàng bảo là bình thường, không hỗ trợ đổi. Shipping thì rất nhanh",Shipping,positive,negative,positive → negative,1
"Chăm sóc khách hàng chỉ đổ lỗi. Không nhận trách nhiệm. Hỗ trợ kém. Báo lỗi thì cứ đổ cho do mạng, do phần mềm, không chịu nhận máy có vấn đề. Pin sử dụng ổn",Shop_Service,negative,positive,negative → positive,1
"Chất lượng sản phẩm: không rõ ràng nói chúng giá rẻ mình chấp nhận được, cũng mua nhiều rồi nhưng nhắn tin không trả lời nên xin gởi 3 sao lịch sự",Shop_Service,negative,positive,negative → positive,1
"Máy hay bị mất tín hiệu sim 2 dù mình đã đổi sim qua lại, đã liên hệ nhưng cửa hàng chưa đưa ra được hướng hỗ trợ. Còn lại thì ngon, mượt, không ám màn, viền đẹp.",Shop_Service,negative,positive,negative → positive,1
Mới sử dụng điện thoại hãng này . Không âm hiểu .mua gặp sự cố hỏi cửa hàng không biết . Trả lời chậm chán . Mẫu đẹp .cho 3 sao vì phục vụ chưa tốt .,Shop_Service,negative,positive,negative → positive,1
"Pin quá nóng khi sử dụng. Nhiệt độ cao. Dễ nóng. Pin nóng lên nhanh khi lướt web, cảm giác không an toàn. Hiệu năng tạm ổn. Chăm sóc khách hàng giải quyết vấn đề nhanh",Shop_Service,negative,positive,negative → positive,1
"giao hàng nhanh, đóng gói cẩn thận, tuy nhiên vẫn không chịu sử dụng đúng số điện thoại khách hàng khi xuất hoá đơn, mặc dù đã nhắn số điện thoại riêng rồi, nhân viên nói là xuất hoá đơn dựa vào thông tin lucd yêu cầu hoá đơn khi mua trên shopee, nhưng mục đó làm gì có ô nào để điền số điện thoại đâu, nhắn riêng để được xuất đúng số cũng không xuất đúng, hỏi thì nhân viên trả lời không thuyết phục.",Shop_Service,negative,positive,negative → positive,1
"Điện thoại nhanh, hiệu năng mượt mà, ai vượt trội hữu ích nhưng nếu sửa ảnh phần can thiệp ai nó sẽ bị mờ nên chưa hoàn thiện và tốt lắm về dịch vụ chăm sóc khách hàng khá tệ, điện thoại mua đến nay đã hơn 1 tháng nhưng kiểm tra thì thấy chưa kích hoạt bảo hành, liên hệ qua tin nhắn trên shopee với cửa hàng thì hứa hẹn sẽ có liên hệ lại mà không thấy gì dù đã nhắn hỏi 2 lần. Vì cái chia sẻ nhanh trên điện thoại ban đầu sử dụng tốt mà giờ không nhận được nên coi bảo hành kiếm tra xem ntn",Shop_Service,negative,positive,negative → positive,1
Now hanging giao hàng nhanh chất lượng giống một thời gian mới đánh giá được hi vọng tốt không biết đã xuất hóa đơn chưa để còn đăng ký bảo hành xin cảm ơn,Shop_Service,neutral,positive,neutral → positive,1
"Đánh giá thật mọi người nhé. Cửa hàng gửi đúng máy,lm ăn uy tín máy ngon,rẻ màn hình vỏ tầm 95% máy lock nên cũng không đòi hỏi nhiều về sử dụng 4g cảm ứng tốt,không bị liệt chỗ nào cửa hàng trả lời tnhan rất tốt nhưng cửa hàng cần cải thiện lại cách đóng hàng nhé nếu có lần sau chắc chắn sẽ ghé lại cửa hàng.",Shop_Service,positive,neutral,positive → neutral,1
